// 0.7.1

1941	1941 - 反击战
mslug2	合金弹头 2
mslug3	合金弹头 3
mslugx	合金弹头 X
msword	魔法剑 - 英雄的幻想
mtwins	双麟儿 / 魔法男孩
mugsmash	火线追缉 / Mug Smashers
mustangb	野马战机 / US AAF Mustang (盗版)
mutnat	外星游龙 / 变异种族
mvp	M.V.P
mvsc	漫画英雄 对 Capcom
myhero	青春 Scandal
mystwarr	怒之忍者 / Mystic Warriors
nam1975	越战-1975
nastar	王者之剑 II
nbajam	NBA 篮球
nbajamte	NBA 篮球淘汰赛
ncombat	忍者大战
ncommand	忍者战士
nemesis	宇宙巡航机 / 复仇女神
nemo	梦幻冒险 - Nemo
neobombe	炸弹夫 - Neo 机皇版
neocup98	Neogeo 杯 '98  - 胜利之路
neodrift	Neo 越野赛车
neomrdo	Neo Mr. Do!
nightstr	午夜出击
ninjak	忍者 - 布娃娃迷你版
ninjamas	忍者高手 - 霸王忍法帖
ninjaw	忍者武士
ninjemak	妖魔忍法帖
nitd	黑暗守墓者
noboranb	怪叔叔救美 (盗版)
nost	超电磁炮 / Nostradamus
nwarr	吸血鬼猎人 - 恶魔的复仇
offtwall	奇幻世界 / Off the Wall
opwolf	野狼行动
ordyne	欧坦救美 / Ordyne
orunners	环游世界大赛车 / Out Runners
oscar	钢铁金刚 / Psychonics Oscar
outrun	世嘉 赛车 / Out Run
outzone	异域战将 / Out Zone
overdriv	Over Drive
overtop	极速赛车
p47	P-47
pacmania	小精灵 - 疯狂吃豆 (美版)
pacnpal	小精灵 - 豆西 & 豆乐
pairs	美女扑克对对碰
pang3	魔法气泡 3 - 怪盗们的华丽午后
panicbom	炸弹夫方块 / 炸弹危机
paperboy	送报男孩
parodius	Q版沙罗曼蛇 
pbobbl2n	泡泡龙 2 (NeoGeo版)
pbobble	泡泡龙
pbobble2	泡泡龙 2
pbobble3	泡泡龙 3
pbobble4	泡泡龙 4
pbobblen	泡泡龙 (NeoGeo版)
pdrift	超级赛车 / Power Drift
peterpak	彼得老鼠
pgoal	开心射门 / Futsal - 5 对 5 迷你足球
phelios	翼人战士
phozon	原子图形 / Phozon
pipibibs	皮皮与比比
pistoldm	手枪大名冒险
pitfall2	陷阱 II
pitfight	角斗士
plusalph	趣味战机 / Plus Alpha
plygonet	超级指挥官
pnickj	魔法方块
popbounc	跳跳球 / 动物方块
popnpop	幽游气球解谜 / Pop 'N Pop
preisle2	原始岛 2
pspikes2	超级排球 II
psyforce	超能力大战 / Psychic Force
puchicar	浦吉克拉 - 宝石王国的世界
pulirula	普利路拉传说
pulstar	死亡之星 / 惑星战机
punisher	惩罚者 / 复仇者
punkshot	庞克篮球
puzlclub	解谜俱乐部 (行程版)
puzloop2	Puzzloop 2
puzzledp	解谜气泡
pwheelsj	四驱赛车
pwrgoal	Taito 足球 95 / Hat Trick Hero '95 / Taito Power Goal
qad	龙之迷题 (美版)
qcrayon	蜡笔小新问答
qcrayon2	蜡笔小新问答 - orato asobo
qjinsei	问答人生剧场
qndream	问答 七彩梦 - 虹色町的奇迹
qtono2	问答 信长之野望 2 全国版
qtorimon	苦胃头捕物帐
quester	打砖块卫星 / Quester
quizdai2	问答 大搜查线 Part 2 - 问答迷侦探 Neo & Geo
quizdais	问答 大搜查线 - 最后倒计时
quizf1	问答 一级方程式问答
quizhq	问答 大本营
quizhuhu	森口博子问答
quizkof	拳皇问答
qzchikyu	问答 地球防卫军
qzquest	问答搜查 - 英雄美女物语
qzshowby	问答世界 Show by Show by!!
racinfrc	瑞金赛车 / Racing Force
radm	鏒风追逐 / Rad Mobile
raflesia	银河系战机 / Rafflesia
ragnagrd	神凰拳
raiden	雷电
raiden2	雷电 II
raidendx	雷电DX
raimais	光速飞跃车
rainbow	彩虹岛
rallybik	拉力摩托 / 冲刺野郎
rambo3	兰博 III
rastan	王者之剑
rbff1	Real Bout 饿狼传说
rbff2	Real Bout 饿狼传说 2 - 新的来者
rbffspec	Real Bout 饿狼传说 特别版
rchase	铁路追踪
regulus	星球战车
ridhero	风速英雄
riotcity	暴乱之城
riskchal	小迷糊闯天关 / Gussun Oyoyo
roadblst	爆裂赛车
roadriot	道路风暴 - 四轮传动
roadrunn	BB 鸟 / Road Runner
roboarmy	机甲神兵
robocop	机械战警 / 铁甲威龙
rodland	妖精物语 Rod-land
rohga	Wolf Fang - 空牙2001
roishtar	依希塔复活
rompers	吊带小子 / Rompers
rrreveng	道路风暴复仇版 / Road Riot's Revenge
rthun2	滚雷 2
rthunder	滚雷
rtype	龙神号 / 异域战机
rtype2	龙神号 II / 异域战机 II
rtypeleo	龙神号 Leo / 异域战机 Leo
rungun	大灌篮 / Run & Gun
rungun2	大灌篮 2 / Run & Gun 2
rushhero	橄榄球英雄
rvschool	私立公平学园 / Rival School
ryujin	龙神
s1945	打击者 1945
s1945jn	打击者 1945 (武装飞鸟 hardware)
s1945p	打击者 1945 plus
salamand	沙罗曼蛇
salmndr2	沙罗曼蛇2
samsho	侍魂
samsho2	侍魂 II / 真侍魂 - 霸王丸地狱变
samsho3	侍魂 III - 斩红郎无双剑
samsho4	侍魂 IV - 天草降临
savagere	风云默示录 - 格斗创世
sbm	超级拳王 / Sonic Blast Man
scfinals	Taito 足球 '93 / Hat Trick Hero '93 / Super Cup Finals
sci	S.C.I. / 特别刑事调查组
scramble	紧急起飞
sdodgeb	热血高校躲避球部
sectionz	Z 地带
seganinj	忍者王子
selfeena	魔法公主
sengekis	闪激 Striker
sengoku	战国传承
sengoku2	战国传承 2
sengoku3	战国传承 2001
sexyparo	性感疯狂大射击 / Sexy Parodius
sf1	街头霸王	街头霸王1
sf2	街头霸王 II - 天下斗士	街头霸王2
sf2ce	街头霸王 II' - 四大天王	街头霸王2d
sfa	少年街霸	少年街霸1
sfa2	少年街霸 2	少年街霸2
sfa3	少年街霸 3	少年街霸3
sfchamp	超级冠军足球
sfex	街头霸王 EX	街头霸王ex
sfex2	街头霸王 EX 2	街头霸王ex2
sfex2p	街头霸王 EX 2 plus	街头霸王ex2p
sftm	街头霸王 电影版	街头霸王电影
sg2j	星际格斗 2
sgunner2	反恐精英 2 / Steel Gunner 2
shackled	链狱谜城 / Breywood / Shackled
shadfrce	变身忍者 
shadowld	妖怪道中记
shangon	超级摩托车 / Super Hang On
sharrier	太空哈利
shdancer	影舞者
shimpact	超级狂野橄榄球 / Super High Impact
shinobi	忍
shippumd	疾风魔法大作战 - 王国大赏
shisen2	四川省 女子寮编
shocktr2	突击骑兵 第二纵队
shocktro	突击骑兵
shtngmst	射击大师
shufshot	沙狐球大进击 / Shuffleshot
sidepckt	花式撞球 - 瞄准腰袋
silentd	沉默之龙
simpsons	辛普森一家
skullxbo	神鬼奇航 - 鬼盗船魔咒 / Skull & Crossbones
skykiddx	天空小子 DX
slammast	摔跤霸王
slyspy	间谍末日 / Secret Agent
smashtv	霹雳趣味大竞赛 / Smash T.V
snowbros	雪人兄弟 - Nick & Tom
socbrawl	机器人足球
soldamj	苏登益智方块 / Soldam
solfigtr	沉默战士
solvalou	太空大战 / Solvalou
sonicwi2	音速之翼 2 / 四国战机 2
sonicwi3	音速之翼 3 / 四国战机 3
spacedx	宇宙侵略者 DX
spatter	三轮小三
spcinv95	Q版太空入侵者
spcinvdj	宇宙侵略者 DX (F3版)
spclords	太空君主
spidey	蜘蛛侠
spinmast	滑轮大师 / 强尼大冒险
splatter	鬼屋
srdarwin	黑暗之风 2
ssf2	超级街头霸王 II - 新的来者
ssi	宇宙侵略者 Part IV
ssideki	得点王
ssideki2	得点王 2 - 实战足球
ssideki3	得点王 3 - 光荣的挑战
ssideki4	得点王 4 - 火炎之 Libero
ssprint	环绕赛车
ssriders	落日骑士 / 西部牛仔
stadhero	棒球英雄
stagger1	红鹰 / Stagger I
stakwin	赏金猎手 - GI 完全制霸之道
stakwin2	赏金猎手 2
starblad	星际保卫战 / Star Blade
starjack	星际母舰
starwars	星球大战 (Atari版)
stdragon	天圣龙
steeltal	钢爪
strhoop	街头篮球
strkfgtr	捍卫铁鹰 / Strike Fighter
stunrun	S.T.U.N. 赛车 
supbtime	汉堡时代超级版
superchs	大追捕 - 罪恶终结者
superman	超人
superpac	小精灵 - 超级吃豆
superspy	谍报飞龙
suprloco	超级蒸气火车
suprslam	灌篮高手 / 篮球飞人
suzuk8h2	铃鹿8小时 2
suzuka8h	铃鹿8小时
swat	史瓦特
sws92	超级世界棒球 '92
tankfrce	坦克大战 2
tapper	酒保 / Tapper
tattass	Tattoo Assassins (弹珠)
tbyahhoo	兵蜂 Yahhoo!
teddybb	泰迪男孩布鲁斯 / Teddy Boy Blues
tengai	战国之刃
term2	终结者 2 - 世界末日
terraf	地球自卫队 / Terra Force
tetrisp2	俄罗斯方块 Plus 2
tgmj	俄罗斯方块 the Grand Master
tharrier	旋风战斗机
thndrbld	蓝色霹雳号
thndrx2	雷霆战机 II
thunderj	霹雳大白鲨
thunderx	雷霆战机 (美版)
thundfox	雷狐战士
timekill	时空杀手
timeplt	时光飞行员
tmnt	T.M.N.T. 忍者神龟
tmnt2	T.M.N.T. 忍者神龟 2
todruaga	魂坉之塔
tokio	轰炸东京 / Scramble Formation
tokisens	时间战士
toobin	救生圈滑水赛 / Toobin
tophuntr	顶尖猎人
topland	顶尖飞行模拟
topspeed	最高时速
totcarn	黑珍珠部队 / Total Carnage
toutrun	环游世界大赛车极速版 / Turbo Out Run
toypop	童话世界 / Toy Pop
tpgolf	顶尖高尔夫
trally	极速英豪
triothep	艳拳三强男 - 胜负拳
trog	恐龙捡蛋 / Trog
trojan	斗者挽歌
tron	电子世界争霸战 / Tron
trstar	拳击格斗 / Top Ranking Stars
truxton	达人
ts2j	斗神传2
tumblep	捉鬼大师
turfmast	大联盟高尔夫
turtles	乌龟冒险 / Turpin
tutankhm	图坦卡门
twinbee	兵蜂
twincobr	究极虎
twinqix	Twin Qix
twinspri	梦幻小妖精
tws96	Tecmo 世界杯足球 '96
uballoon	终极气球
ufosensi	UFO 战士
undrfire	枪火之下
unsquad	战区 88
upndown	金龟车大跃进 / Up'n Down
valkyrie	女武士传说
varth	威虎战机 - 雷暴行动
vcop	VR特警
vendetta	城市英雄 2
vf	VR战士
vhunt2	吸血鬼猎人 2 - 恶魔的复仇
viewpoin	V 计划 - 视点
vindctr2	坦克大作战 II
vindictr	坦克大作战
viofight	暴力格斗
viostorm	街头风雨
volfied	异形天蚕变 / Volfied
vrracin	VR赛车
vsav	恶魔救世主
vsav2	恶魔救世主 2
vulcan	宇宙巡航机 II - Gofer 的野心
wakuwak7	火热火热 7
wardner	瓦德纳森林
wb3	神奇男孩 III - 魔窟
wbml	神奇男孩 - Monster Land
wcbowl	世界杯保龄球
wh1	世界英雄
wh2	世界英雄 2
wh2j	世界英雄 2 JET
whp	世界英雄 完美版
willow	威洛之旅
wingwar	飞行战争 (R360版)
winspike	胜利排球
wjammers	超级飞碟球 / 野外排球
wldcourt	世界球场
wmatch	游泳比赛
wndrmomo	神奇女孩
wndrplnt	不思议的星球
wof	吞食天地 II - 赤壁之战
ws	职业棒球 世界竞技场
wwfsstar	WWF 超级明星
wwfwfest	WWF 狂热摔角
xexex	新锐惑星 / Xexex
xfiles	The X-Files (弹珠)
xmcota	X 战警格斗版 - 磁场原子人
xmen	X 战警
xmvsf	X 战警 对 街霸
xybots	迷宫任务 / Xybots
yesnoj	Yes/No 心电图
yuyugogo	悠悠问答 GO! GO!
zedblade	末日之战 / Z 字军刀
zerowing	零式战机
zupapa	欢乐精灵 - 星星大作战 / Zupapa!!

//--------------------------------------------------------------
// Added in 0.7.2

1944	1944 - 空翻大师
64street	64街 - 一个侦探的故事
afighter	战斗任务
afm_113	Attack from Mars (弹珠)
airduel	空中决战
ajax	飓风直升机 / Typhoon (美版)
ajaxj	飓风直升机 / A-JAX (日版)
alexkidd	天空魔城
arknoid2	打砖块 - DOH 复仇
aurail	战地自走炮
baraduke	爆突
batcir	战斗回路
battlnts	反战英雄
bbmanw	炸弹夫世界
bchopper	Mr.HELI 大冒险 / Battle Chopper
bel	敌后行动 / 深入敌后
bladestl	金牌冰上曲棍球
blockhl	俄罗斯方块 - 黑洞
bodyslam	Body Slam / Dump 松本
bottom9	世界棒球
bsscoccer	街头足球
btoads	忍者蛙
bubbletr	灵异双枪 2
burnforc	燃烧之魂
cc_13	Cactus Canyon (弹珠)
chqflag	街头赛车
circusc	马戏团
cninja	战斗原始人
combasc	战斗学校
congo_21	Congo (弹珠)
corv_21	Corvette (弹珠)
cosmccop	雷驰 - 武装警察
cosmognj	外星人趣味射击 (日版)
cp_16	Champonship Pub (弹珠)
crusnusa	极速狂鏒
crusnwld	极速狂鏒 2
cv_14	Cirqus Voltaire (弹珠)
daiskiss	恋爱学园迷你游戏
dbreed	神龙太子
dbz	龙珠 Z
ddragon	双截龙
ddribble	两次运球
deroon	益智迪诺
dfeveron	弹铳飞翼
dh_lx2	Duty Harry (弹珠)
dleague	震撼联盟
dm_lx4	Demolition Man (弹珠)
doa	死或生
domino	骨牌人
dragoonj	战斗英雄
drgnbstr	屠龙记
drivedge	Drivers Edge
dumpmtmt	Dump 松本
